CreatedDate,Id,Name,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,IsClosed,IsWon,OwnerId,StageName,CloseDate
21/04/2022,0068d000002Ord4AAC,engineer interactive technologies,409710,50,204855,679,True,False,0058d000002C3DDAA0,Closed Lost,2023-01-23 00:00:00
02/06/2022,0068d000002OrbzAAC,iterate intuitive paradigms,525980,60,315588,649,True,True,0058d000002X3YnAAK,Closed Won,2023-02-21 00:00:00
16/03/2022,0068d000002OrbMAAS,optimize robust channels,437870,50,218935,726,False,False,0058d000002C3D2AAK,Prospecting,2023-03-13 00:00:00
10/03/2022,0068d000002OrdCAAS,architect 24/365 mindshare,320040,20,64008,569,True,True,0058d000002C3CyAAK,Closed Won,2023-02-12 00:00:00
25/03/2022,0068d000002OrbBAAS,innovate real-time models,264290,60,158574,415,False,False,0058d000002C3D4AAK,Negotiation/Review,2023-04-09 00:00:00
10/03/2022,0068d000002OrdPAAS,architect vertical users,438610,50,219305,531,False,False,0058d000002C3D6AAK,Value Proposition,2023-04-06 00:00:00
14/03/2022,0068d000002OrbZAAS,incubate viral eyeballs,171690,75,128767.5,291,True,True,0058d000002C2lpAAC,Closed Won,2023-01-26 00:00:00
26/02/2022,0068d000002Ord6AAC,grow virtual web-readiness,202740,70,141918,320,False,False,0058d000002C3D3AAK,Qualification,2023-04-16 00:00:00
08/05/2022,0068d000002OrdAAAS,monetize efficient networks,263570,10,26357,413,True,True,0058d000002C3D8AAK,Closed Won,2023-02-02 00:00:00
25/02/2022,0068d000002OrZxAAK,reinvent global e-commerce,597640,90,537876,627,False,False,0058d000002C3CzAAK,Negotiation/Review,2023-04-13 00:00:00
08/04/2022,0068d000002OrcFAAS,unleash synergistic experiences,526560,10,52656,946,True,False,0058d000002X3YlAAK,Closed Lost,2023-02-24 00:00:00
02/04/2022,0068d000002OrdBAAS,redefine integrated systems,652420,75,489315,750,False,False,0058d000002C3D9AAK,Qualification,2023-04-13 00:00:00
31/05/2022,0068d000002OrcvAAC,morph viral e-business,1091920,75,818940,1305,True,False,0058d000002X3YiAAK,Closed Lost,2023-02-13 00:00:00
03/03/2022,0068d000002Orc9AAC,repurpose wireless functionalities,110000,70,77000,86,True,False,0058d000002C3D1AAK,Closed Lost,2023-02-04 00:00:00
20/03/2022,0068d000002OrdVAAS,matrix interactive solutions,753080,60,451848,991,True,True,0058d000002C3CyAAK,Closed Won,2023-02-08 00:00:00
04/03/2022,0068d000002OrbNAAS,streamline global schemas,392220,70,274554,468,False,False,0058d000002C3DCAA0,Value Proposition,2023-03-14 00:00:00
02/04/2022,0068d000002OrbpAAC,seize plug-and-play action-items,511830,10,51183,753,False,False,0058d000002C2lpAAC,Negotiation/Review,2023-04-20 00:00:00
04/03/2022,0068d000002OrcgAAC,engage value-added portals,709700,10,70970,766,True,True,0058d000002C3D4AAK,Closed Won,2023-02-12 00:00:00
31/03/2022,0068d000002Orc8AAC,optimize global users,413140,10,41314,655,True,False,0058d000002C3D7AAK,Closed Lost,2023-02-03 00:00:00
23/03/2022,0068d000002OrdLAAS,utilize integrated users,393890,70,275723,565,False,False,0058d000002C3D0AAK,Value Proposition,2023-04-14 00:00:00
01/03/2022,0068d000002OrZuAAK,disintermediate extensible platforms,679000,20,135800,908,False,False,0058d000002C3DAAA0,Qualification,2023-04-22 00:00:00
03/03/2022,0068d000002OragAAC,revolutionize mission-critical communities,246400,75,184800,313,True,True,0058d000002X3YkAAK,Closed Won,2023-01-28 00:00:00
12/03/2022,0068d000002OrcBAAS,synthesize mission-critical communities,550840,60,330504,774,False,False,0058d000002X3YiAAK,Qualification,2023-04-07 00:00:00
03/03/2022,0068d000002OrbCAAS,redefine B2B web services,422110,50,211055,741,True,False,0058d000002C3DAAA0,Closed Lost,2023-02-10 00:00:00
05/04/2022,0068d000002Ord8AAC,engineer scalable interfaces,45000,70,31500,45,True,True,0058d000002C3D3AAK,Closed Won,2023-01-26 00:00:00
31/03/2022,0068d000002OravAAC,synergize B2C architectures,199140,50,99570,278,True,False,0058d000002C3D7AAK,Closed Lost,2023-02-18 00:00:00
16/03/2022,0068d000002Orb1AAC,architect integrated e-services,822520,20,164504,1438,True,True,0058d000002C3CwAAK,Closed Won,2023-02-05 00:00:00
