"County, State",Cumulative Case Count,Date,State,County,FIPS,latitude,longitude,num_staffed_beds,num_icu_beds,num_ventilators_est
"Lauderdale County, Alabama",1364,8/26/2020,Alabama,Lauderdale,01077,34.90171875,-87.65624729,233,36,23
"Lawrence County, Alabama",427,8/26/2020,Alabama,Lawrence,01079,34.52041498,-87.31069453,43,6,4
"Lee County, Alabama",3006,8/26/2020,Alabama,Lee,01081,32.60154883,-85.35132246,299,20,13
"Limestone County, Alabama",1570,8/26/2020,Alabama,Limestone,01083,34.81185586,-86.98310072,97,18,12
"Lowndes County, Alabama",588,8/26/2020,Alabama,Lowndes,01085,32.1597283,-86.65158371,,,
"Macon County, Alabama",380,8/26/2020,Alabama,Macon,01087,32.38759944,-85.69267724,143,0,0
"Madison County, Alabama",6008,8/26/2020,Alabama,Madison,01089,34.76327133,-86.55069633,1240,99,64
"Marengo County, Alabama",621,8/26/2020,Alabama,Marengo,01091,32.24767634,-87.78796182,37,5,3
"Marion County, Alabama",681,8/26/2020,Alabama,Marion,01093,34.13697363,-87.88704173,97,8,5
"Marshall County, Alabama",3438,8/26/2020,Alabama,Marshall,01095,34.36975964,-86.30486727,150,20,13
"Mobile County, Alabama",11731,8/26/2020,Alabama,Mobile,01097,30.78472347,-88.20842409,1524,246,160
"Monroe County, Alabama",439,8/26/2020,Alabama,Monroe,01099,31.56729412,-87.36995001,49,8,5
"Montgomery County, Alabama",7497,8/26/2020,Alabama,Montgomery,01101,32.2206831,-86.20969272,1018,86,56
"Morgan County, Alabama",2698,8/26/2020,Alabama,Morgan,01103,34.45500589,-86.85475946,222,23,15
"Perry County, Alabama",473,8/26/2020,Alabama,Perry,01105,32.64048341,-87.29770589,,,
"Pickens County, Alabama",508,8/26/2020,Alabama,Pickens,01107,33.28094866,-88.08818103,,,
"Pike County, Alabama",802,8/26/2020,Alabama,Pike,01109,31.80396383,-85.9408295,97,9,6
"Randolph County, Alabama",450,8/26/2020,Alabama,Randolph,01111,33.29526734,-85.45708831,15,3,2
"Russell County, Alabama",1503,8/26/2020,Alabama,Russell,01113,32.28725256,-85.18415324,105,10,6
"Shelby County, Alabama",3732,8/26/2020,Alabama,Shelby,01117,33.26879845,-86.66232561,246,32,21
"St. Clair County, Alabama",1568,8/26/2020,Alabama,St. Clair,01115,33.71902176,-86.31029372,40,6,4
"Sumter County, Alabama",393,8/26/2020,Alabama,Sumter,01119,32.59117397,-88.19916205,33,6,4
"Talladega County, Alabama",1222,8/26/2020,Alabama,Talladega,01121,33.37823223,-86.16886178,225,14,9
"Tallapoosa County, Alabama",910,8/26/2020,Alabama,Tallapoosa,01123,32.86698258,-85.79833053,80,14,9
"Tuscaloosa County, Alabama",4899,8/26/2020,Alabama,Tuscaloosa,01125,33.28726072,-87.52556818,900,57,37
"Walker County, Alabama",1758,8/26/2020,Alabama,Walker,01127,33.80270512,-87.30027177,207,12,8
"Washington County, Alabama",494,8/26/2020,Alabama,Washington,01129,31.4092794,-88.20689944,15,3,2
"Wilcox County, Alabama",475,8/26/2020,Alabama,Wilcox,01131,31.98773215,-87.30891118,21,4,3
"Winston County, Alabama",512,8/26/2020,Alabama,Winston,01133,34.15030532,-87.37325922,49,4,3
"Aleutians East County, Alaska",2,8/26/2020,Alaska,Aleutians East,02013,55.32222414,-161.9722021,,,
"Aleutians West County, Alaska",6,8/26/2020,Alaska,Aleutians West,02016,52.3233,-174.1596,,,
"Anchorage County, Alaska",2777,8/26/2020,Alaska,Anchorage,02020,61.14998174,-149.1426986,973,109,71
"Bethel County, Alaska",55,8/26/2020,Alaska,Bethel,02050,60.90980451,-159.8561831,34,6,4
"Bristol Bay County, Alaska",11,8/26/2020,Alaska,Bristol Bay,02060,58.74513976,-156.701064,,,
"Denali County, Alaska",1,8/26/2020,Alaska,Denali,02068,63.67264044,-150.0076108,,,
